Zip Code;County
ZIP Code 00501;Suffolk
ZIP Code 00544;Suffolk
ZIP Code 06390;Suffolk
ZIP Code 10001;New York
ZIP Code 10002;New York
ZIP Code 10003;New York
ZIP Code 10004;New York
ZIP Code 10005;New York
ZIP Code 10006;New York
ZIP Code 10007;New York
ZIP Code 10008;New York
ZIP Code 10009;New York
ZIP Code 10010;New York
ZIP Code 10011;New York
ZIP Code 10012;New York
ZIP Code 10013;New York
ZIP Code 10014;New York
ZIP Code 10016;New York
ZIP Code 10017;New York
ZIP Code 10018;New York
ZIP Code 10019;New York
ZIP Code 10020;New York
ZIP Code 10021;New York
ZIP Code 10022;New York
ZIP Code 10023;New York
ZIP Code 10024;New York
ZIP Code 10025;New York
ZIP Code 10026;New York
ZIP Code 10027;New York
ZIP Code 10028;New York
ZIP Code 10029;New York
ZIP Code 10030;New York
ZIP Code 10031;New York
ZIP Code 10032;New York
ZIP Code 10033;New York
ZIP Code 10034;New York
ZIP Code 10035;New York
ZIP Code 10036;New York
ZIP Code 10037;New York
ZIP Code 10038;New York
ZIP Code 10039;New York
ZIP Code 10040;New York
ZIP Code 10041;New York
ZIP Code 10043;New York
ZIP Code 10044;New York
ZIP Code 10045;New York
ZIP Code 10055;New York
ZIP Code 10060;New York
ZIP Code 10065;New York
ZIP Code 10069;New York
ZIP Code 10075;New York
ZIP Code 10080;New York
ZIP Code 10081;New York
ZIP Code 10087;New York
ZIP Code 10090;New York
ZIP Code 10101;New York
ZIP Code 10102;New York
ZIP Code 10103;New York
ZIP Code 10104;New York
ZIP Code 10105;New York
ZIP Code 10106;New York
ZIP Code 10107;New York
ZIP Code 10108;New York
ZIP Code 10109;New York
ZIP Code 10110;New York
ZIP Code 10111;New York
ZIP Code 10112;New York
ZIP Code 10113;New York
ZIP Code 10114;New York
ZIP Code 10115;New York
ZIP Code 10116;New York
ZIP Code 10117;New York
ZIP Code 10118;New York
ZIP Code 10119;New York
ZIP Code 10120;New York
ZIP Code 10121;New York
ZIP Code 10122;New York
ZIP Code 10123;New York
ZIP Code 10124;New York
ZIP Code 10125;New York
ZIP Code 10126;New York
ZIP Code 10128;New York
ZIP Code 10129;New York
ZIP Code 10130;New York
ZIP Code 10131;New York
ZIP Code 10132;New York
ZIP Code 10133;New York
ZIP Code 10138;New York
ZIP Code 10150;New York
ZIP Code 10151;New York
ZIP Code 10152;New York
ZIP Code 10153;New York
ZIP Code 10154;New York
ZIP Code 10155;New York
ZIP Code 10156;New York
ZIP Code 10157;New York
ZIP Code 10158;New York
ZIP Code 10159;New York
ZIP Code 10160;New York
ZIP Code 10162;New York
ZIP Code 10163;New York
ZIP Code 10164;New York
ZIP Code 10165;New York
ZIP Code 10166;New York
ZIP Code 10167;New York
ZIP Code 10168;New York
ZIP Code 10169;New York
ZIP Code 10170;New York
ZIP Code 10171;New York
ZIP Code 10172;New York
ZIP Code 10173;New York
ZIP Code 10174;New York
ZIP Code 10175;New York
ZIP Code 10176;New York
ZIP Code 10177;New York
ZIP Code 10178;New York
ZIP Code 10179;New York
ZIP Code 10185;New York
ZIP Code 10199;New York
ZIP Code 10203;New York
ZIP Code 10211;New York
ZIP Code 10212;New York
ZIP Code 10213;New York
ZIP Code 10242;New York
ZIP Code 10249;New York
ZIP Code 10256;New York
ZIP Code 10258;New York
ZIP Code 10259;New York
ZIP Code 10260;New York
ZIP Code 10261;New York
ZIP Code 10265;New York
ZIP Code 10268;New York
ZIP Code 10269;New York
ZIP Code 10270;New York
ZIP Code 10271;New York
ZIP Code 10272;New York
ZIP Code 10273;New York
ZIP Code 10274;New York
ZIP Code 10275;New York
ZIP Code 10276;New York
ZIP Code 10277;New York
ZIP Code 10278;New York
ZIP Code 10279;New York
ZIP Code 10280;New York
ZIP Code 10281;New York
ZIP Code 10282;New York
ZIP Code 10285;New York
ZIP Code 10286;New York
ZIP Code 10301;Richmond
ZIP Code 10302;Richmond
ZIP Code 10303;Richmond
ZIP Code 10304;Richmond
ZIP Code 10305;Richmond
ZIP Code 10306;Richmond
ZIP Code 10307;Richmond
ZIP Code 10308;Richmond
ZIP Code 10309;Richmond
ZIP Code 10310;Richmond
ZIP Code 10311;Richmond
ZIP Code 10312;Richmond
ZIP Code 10313;Richmond
